unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT
1617062400,3-30-21 0:00,DASH/USDT,214.854081,215.2369061,214.3318494,214.3318494,533.6218957,2.48941653
1617060600,3-29-21 23:30,DASH/USDT,212.6219405,214.5651073,212.6219405,214.5230453,3597.662676,16.89331821
1617058800,3-29-21 23:00,DASH/USDT,212.7480345,212.7480345,212.6219405,212.6219405,747.8322364,3.51644913
1617057000,3-29-21 22:30,DASH/USDT,212.3777382,214.0768031,212.349408,213.6110814,11834.28089,55.33849318
1617055200,3-29-21 22:00,DASH/USDT,211.4860097,211.4860097,211.4860097,211.4860097,0,0
1617053400,3-29-21 21:30,DASH/USDT,210.9267662,211.4860097,210.9267662,211.4860097,1478.710762,7.01051322
1617051600,3-29-21 21:00,DASH/USDT,210.9267662,210.9267662,210.9267662,210.9267662,0,0
1617049800,3-29-21 20:30,DASH/USDT,211.53,211.53,210.3953887,210.9267662,823.5311007,3.90031342
1617048000,3-29-21 20:00,DASH/USDT,211.5573291,211.6340486,211.1173048,211.5250593,2156.163522,10.20281063
1617046200,3-29-21 19:30,DASH/USDT,212.2654151,212.5167374,211.78572,211.78572,1147.070392,5.39803434
1617044400,3-29-21 19:00,DASH/USDT,213.46009,213.46009,212.3488727,212.5443373,1114.143063,5.23492511
1617042600,3-29-21 18:30,DASH/USDT,213.7323595,213.7323595,213.439069,213.439069,1517.722137,7.11006627
1617040800,3-29-21 18:00,DASH/USDT,214.9423123,214.9423123,213.9254226,213.9254226,2226.183556,10.38792418
1617039000,3-29-21 17:30,DASH/USDT,214.4482989,214.827914,213.8368549,214.827914,2135.990876,9.98064098
1617037200,3-29-21 17:00,DASH/USDT,213.2789086,215.09,213.2789086,214,1425.825402,6.63713933
1617035400,3-29-21 16:30,DASH/USDT,212.1477044,213.0675015,211.5271867,213.0675015,824.2066623,3.88376165
1617033600,3-29-21 16:00,DASH/USDT,213.3135783,214.4778625,211.308718,211.7367597,1760.964528,8.2793295
1617031800,3-29-21 15:30,DASH/USDT,212.0866569,213.2789086,212.0866569,213.2789086,405.4062333,1.90752848
1617030000,3-29-21 15:00,DASH/USDT,213.6281324,213.6281324,209.5469326,210.5332272,1913.084301,9.05083857
